Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
155	0.005150	0.044100	0.000936	637	4.556691	0.342269	0.181989	
156	0.010422	0.090671	0.001017	653	4.560631	0.344163	0.197779	
157	0.005799	0.050026	0.001024	687	4.553863	0.351057	0.198988	
158	0.007673	0.065045	0.001032	641	4.506786	0.358246	0.200604	
159	0.001870	0.015744	0.001122	660	4.562040	0.363574	0.218038	
160	0.006287	0.054586	0.001140	661	4.586013	0.360004	0.221628	
161	0.011888	0.101674	0.001182	654	4.570077	0.335115	0.229781	
162	0.009877	0.080617	0.001108	624	4.578637	0.352668	0.215341	
163	0.011776	0.100901	0.001161	669	4.569199	0.353163	0.225596	
164	0.014771	0.133746	0.001140	676	4.559712	0.340087	0.221631	
165	0.014643	0.119241	0.001060	617	4.596564	0.359559	0.205974	
166	0.006501	0.055505	0.001097	638	4.513764	0.336424	0.213231	
167	0.010023	0.087472	0.001021	677	4.622539	0.377202	0.198438	
168	0.008005	0.070314	0.001098	671	4.597954	0.358172	0.213360	
169	0.007428	0.063768	0.000999	669	4.564929	0.348124	0.194130	
170	0.010958	0.094761	0.001194	642	4.533154	0.334154	0.232120	
171	0.010050	0.086282	0.001145	659	4.565891	0.345567	0.222648	
172	0.004632	0.039069	0.001137	655	4.599538	0.373944	0.221037	
173	0.007919	0.069451	0.001107	670	4.629258	0.358055	0.215119	
174	0.016407	0.142093	0.000924	657	4.445256	0.331281	0.179545	
175	0.005002	0.043355	0.000904	665	4.594186	0.347188	0.175653	
176	0.014167	0.120680	0.001036	641	4.653998	0.361452	0.201320	
177	0.008766	0.074102	0.001085	683	4.561505	0.354955	0.210999	
178	0.007961	0.070192	0.001038	673	4.594219	0.358611	0.201717	
179	0.007061	0.060323	0.001194	670	4.551481	0.354316	0.232019	
180	0.002179	0.018487	0.001173	675	4.555192	0.345350	0.228109	
181	0.001270	0.010911	0.001237	656	4.532527	0.350765	0.240426	
182	-0.001217	-0.010134	0.001254	652	4.604678	0.370175	0.243766	
183	0.004546	0.040067	0.001193	684	4.621597	0.354009	0.231975	
184	0.002865	0.024891	0.001294	649	4.579493	0.343444	0.251573	
185	0.003249	0.026951	0.001401	649	4.539135	0.342977	0.272293	
186	0.004012	0.033776	0.001358	658	4.564344	0.339652	0.263939	
187	0.001674	0.014226	0.001436	638	4.535901	0.342026	0.279192	
188	-0.001436	-0.013083	0.001342	672	4.609889	0.348781	0.260835	
189	-0.003997	-0.033051	0.001467	653	4.533298	0.357367	0.285258	
190	0.004473	0.037938	0.001353	654	4.615700	0.366971	0.263049	
191	-0.001482	-0.012345	0.001371	667	4.571334	0.356570	0.266584	
192	-0.002896	-0.024536	0.001386	645	4.498765	0.369659	0.269503	
